date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-08-07,1644.77,1649.67,1631.0,1598.5,34242.05,-6.96,-0.42,1654.99,1659.768,1670.53,31802.83,38252.01,46886.08,0.27
2020-08-06,1670.0,1674.03,1637.96,1630.0,32648.78,-30.04,-1.8,1664.426,1656.198,1674.672,33091.37,42703.0,47028.99,0.26
2020-08-05,1662.09,1673.09,1668.0,1643.31,25521.69,-1.99,-0.12,1672.834,1660.002,1678.074,34236.22,42870.18,47148.22,0.2
2020-08-04,1675.0,1682.99,1669.99,1660.0,31940.51,1.99,0.12,1673.634,1661.01,1678.741,39281.57,44238.13,48530.63,0.25
2020-08-03,1686.88,1696.58,1668.0,1660.0,34661.14,-10.18,-0.61,1673.636,1660.811,1679.642,43875.77,45241.03,50266.8,0.28
2020-07-31,1685.0,1705.0,1678.18,1646.0,40684.74,-1.82,-0.11,1664.546,1657.707,1676.242,44701.18,46302.95,51124.84,0.32
2020-07-30,1671.2,1700.59,1680.0,1670.5,38373.04,8.0,0.48,1647.97,1654.694,1669.422,52314.63,48824.68,50846.9,0.31
